qID,questions,op1,op2,op3,op4,Correct Answer,option_number,difficulty,domain,subdomain
119,What is the worst-case time complexity of the selection sort algorithm?,O(1),O(log n),O(n),O(n^2),O(n^2),4,Medium,DSA,Sorting
120,"Which data structure is used to implement a LIFO (Last In, First Out) order?",Queue,Stack,Array,Linked List,Stack,2,Easy,DSA,Stack
121,What is the primary use of a hash function in a hash table?,Searching,Sorting,Storing key-value pairs,Traversal,Storing key-value pairs,3,Easy,DSA,Hashing
122,Which of the following algorithms is used for sorting linked lists efficiently?,Bubble Sort,Insertion Sort,Selection Sort,Merge Sort,Merge Sort,4,Hard,DSA,Sorting
123,What is the time complexity of accessing an element in a queue implemented using an array?,O(1),O(log n),O(n),O(n^2),O(1),1,Easy,DSA,Queue
124,Which of the following data structures is best suited for implementing a priority queue?,Stack,Queue,Heap,Linked List,Heap,3,Medium,DSA,Heap
125,What is the space complexity of a queue implemented using a linked list?,O(1),O(log n),O(n),O(n^2),O(n),3,Medium,DSA,Queue
126,Which of the following is not a characteristic of a binary heap?,Complete binary tree,All levels are filled except possibly the last,Leaf nodes are all at the same level,Every parent node is greater than or equal to its children in a max-heap,Leaf nodes are all at the same level,3,Medium,DSA,Heap
127,What is the time complexity of deleting an element from a max-heap?,O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Heap
128,Which of the following algorithms is used to find the shortest path in an unweighted graph?,Bubble Sort,Depth-first search,Breadth-first search,Quick Sort,Breadth-first search,3,Medium,DSA,Graph
129,What is the primary disadvantage of using an array over a linked list?,Speed,Memory usage,Dynamic size,Indexing,Dynamic size,3,Medium,DSA,Array
130,Which data structure is used to implement a breadth-first search (BFS) algorithm?,Stack,Queue,Array,Linked List,Queue,2,Medium,DSA,Graph
131,What is the time complexity of accessing an element in a circular linked list?,O(1),O(log n),O(n),O(n^2),O(n),3,Medium,DSA,Linked List
132,Which of the following is a characteristic of a complete binary tree?,All levels are completely filled,All nodes are either 0 or 2 children,All nodes are red,All leaves are at the same level,All levels are completely filled,1,Easy,DSA,Tree
133,Which of the following data structures is used to implement a stack?,Stack,Queue,Array,Linked List,Array,3,Medium,DSA,Stack
134,What is the worst-case time complexity of the bubble sort algorithm?,O(1),O(log n),O(n),O(n^2),O(n^2),4,Medium,DSA,Sorting
135,Which data structure is used to store the call stack of a program?,Queue,Stack,Array,Linked List,Stack,2,Easy,DSA,Stack
136,What is the time complexity of accessing an element in a binary search tree?,O(1),O(log n),O(n),O(n^2),O(log n),2,Medium,DSA,Tree
137,Which of the following is an application of the queue data structure?,Function call management,Task scheduling,Priority queue,Depth-first search,Task scheduling,2,Medium,DSA,Queue
138,What is the space complexity of the insertion sort algorithm?,O(1),O(log n),O(n),O(n^2),O(1),1,Medium,DSA,Sorting
139,Which of the following data structures allows insertion and deletion at both ends?,Stack,Queue,Deque,Linked List,Deque,3,Medium,DSA,Queue
140,What is the time complexity of finding the minimum element in a binary search tree?,O(1),O(log n),O(n),O(n^2),O(log n),2,Medium,DSA,Tree
141,Which of the following algorithms is used to sort an array in O(n log n) time?,Bubble Sort,Quick Sort,Selection Sort,Insertion Sort,Quick Sort,2,Medium,DSA,Sorting
142,Which of the following is a balanced binary search tree?,Binary Search Tree (BST),AVL Tree,B-Tree,Red-Black Tree,AVL Tree,2,Medium,DSA,Tree
143,What is the time complexity of inserting an element into a red-black tree?,O(1),O(log n),O(n),O(n^2),O(log n),2,Medium,DSA,Tree
144,Which of the following sorting algorithms is not stable?,Bubble Sort,Merge Sort,Heap Sort,Insertion Sort,Heap Sort,3,Medium,DSA,Sorting
145,Which of the following data structures is used to implement a breadth-first search (BFS) algorithm?,Stack,Queue,Array,Linked List,Queue,2,Medium,DSA,Graph
146,What is the primary use of a hash table?,Sorting,Storing key-value pairs,Traversal,Indexing,Storing key-value pairs,2,Easy,DSA,Hashing
147,What is the time complexity of finding the height of a binary search tree?,O(1),O(log n),O(n),O(n log n),O(n),3,Medium,DSA,Tree
148,What is the primary advantage of using a binary heap?,Speed,Memory usage,Dynamic size,Efficient retrieval of the minimum or maximum element,Efficient retrieval of the minimum or maximum element,4,Medium,DSA,Heap
149,What is the time complexity of inserting an element into a max-heap?,O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Heap
150,Which of the following data structures is used to implement a priority queue?,Stack,Queue,Heap,Linked List,Heap,3,Medium,DSA,Heap
151,What is the time complexity of inserting an element into a binary search tree in the average case?,O(1),O(log n),O(n),O(n log n),O(log n),2,Medium,DSA,Tree
152,Which of the following sorting algorithms is the most efficient for large datasets?,Bubble Sort,Selection Sort,Quick Sort,Insertion Sort,Quick Sort,3,Hard,DSA,Sorting
153,Which data structure is used to implement the backtracking algorithm?,Queue,Stack,Array,Linked List,Stack,2,Medium,DSA,Algorithm
154,What is the primary disadvantage of a binary search tree that is not balanced?,Speed,Memory usage,Dynamic size,Poor worst-case performance,Poor worst-case performance,4,Medium,DSA,Tree
155,Which of the following data structures is best suited for implementing a circular buffer?,Array,Stack,Queue,Linked List,Array,1,Medium,DSA,Queue
156,What is the worst-case time complexity of the heapsort algorithm?,O(1),O(log n),O(n log n),O(n^2),O(n log n),3,Medium,DSA,Sorting
157,Which of the following algorithms is used to find the minimum spanning tree of a graph?,Dijkstra's Algorithm,Bellman-Ford Algorithm,Kruskal's Algorithm,Floyd-Warshall Algorithm,Kruskal's Algorithm,3,Hard,DSA,Graph
158,What is the primary advantage of a B-tree over a binary search tree?,Speed,Memory usage,Height balance,Space utilization,Space utilization,4,Medium,DSA,Tree
159,Which of the following data structures supports both LIFO and FIFO operations?,Stack,Queue,Deque,Linked List,Deque,3,Medium,DSA,Queue
160,What is the time complexity of accessing an element in a hash table with a good hash function?,O(1),O(log n),O(n),O(n log n),O(1),1,Easy,DSA,Hashing
161,Which of the following algorithms is used to solve the single-source shortest path problem?,Prim's Algorithm,Dijkstra's Algorithm,Kruskal's Algorithm,Floyd-Warshall Algorithm,Dijkstra's Algorithm,2,Medium,DSA,Graph
162,What is the primary advantage of a circular linked list over a singly linked list?,Speed,Memory usage,Dynamic size,Traversal from any node,Traversal from any node,4,Medium,DSA,Linked List
163,Which data structure is best suited for storing hierarchical data?,Array,Stack,Queue,Tree,Tree,4,Easy,DSA,Tree
164,What is the average-case time complexity of the bubble sort algorithm?,O(1),O(log n),O(n),O(n^2),O(n^2),4,Medium,DSA,Sorting
165,Which of the following is not an application of a queue?,CPU scheduling,Disk scheduling,Function call management,Task scheduling,Function call management,3,Medium,DSA,Queue
166,"Which data structure is used to implement a LIFO (Last In, First Out) order?",Queue,Stack,Array,Linked List,Stack,2,Easy,DSA,Stack
167,Which SQL statement is used to remove a table from a database?,DELETE TABLE,ERASE TABLE,DROP TABLE,REMOVE TABLE,DROP TABLE,3,Easy,DBMS,SQL Basics
168,Which SQL keyword is used to sort the result-set?,ORDER,SORT,ORDER BY,SORT BY,ORDER BY,3,Easy,DBMS,SQL Basics
169,In which normal form is a table if it is free from transitive dependency?,First Normal Form (1NF),Second Normal Form (2NF),Third Normal Form (3NF),Boyce-Codd Normal Form (BCNF),Third Normal Form (3NF),3,Medium,DBMS,Normalization
170,Which of the following is a valid SQL constraint?,NOT NULL,AUTO_INCREMENT,ORDER BY,PRIMARY,PRIMARY,4,Easy,DBMS,SQL Constraints
171,What is a primary key?,A unique identifier for a table,A key that can be NULL,A key used for ordering,A key that cannot be unique,A unique identifier for a table,1,Easy,DBMS,Keys
172,Which SQL function is used to find the number of distinct values in a column?,COUNT(),DISTINCT(),SUM(),AVG(),COUNT(),1,Medium,DBMS,SQL Functions
173,Which of the following is a DDL command?,SELECT,INSERT,UPDATE,CREATE,CREATE,4,Easy,DBMS,SQL Basics
174,Which clause is used to filter records in SQL?,ORDER BY,WHERE,HAVING,JOIN,WHERE,2,Easy,DBMS,SQL Basics
175,What is a foreign key?,A key that is foreign to the table,Primary key in another table,Secondary key in the same table,A key that allows foreign data,Primary key in another table,2,Medium,DBMS,Keys
176,Which type of join returns all rows when there is a match in either table?,INNER JOIN,LEFT JOIN,RIGHT JOIN,FULL JOIN,FULL JOIN,4,Medium,DBMS,Joins
177,Which function is used to count the number of rows in a SQL query?,SUM(),COUNT(),TOTAL(),NUMBER(),COUNT(),2,Easy,DBMS,SQL Functions
178,What is the purpose of normalization?,To reduce data redundancy,To speed up queries,To secure the database,To increase storage,To reduce data redundancy,1,Medium,DBMS,Normalization
179,What is a trigger in a database?,A special type of stored procedure,A method to retrieve data,An indexing technique,A type of join,A special type of stored procedure,1,Hard,DBMS,Stored Procedures
180,Which isolation level provides the strictest level of isolation?,READ UNCOMMITTED,READ COMMITTED,REPEATABLE READ,SERIALIZABLE,SERIALIZABLE,4,Hard,DBMS,Transactions
181,What is the result of the following query: SELECT 2 + 2?,4,2,22,Error,4,1,Easy,DBMS,SQL Functions
182,Which of the following is not a NoSQL database?,MongoDB,Cassandra,MySQL,Redis,MySQL,3,Medium,DBMS,Database Models
183,What is the command to remove all records from a table in SQL?,DELETE TABLE,DROP ALL,TRUNCATE TABLE,CLEAR TABLE,TRUNCATE TABLE,3,Medium,DBMS,SQL Basics
184,What is an index in a database?,A way to increase storage,A pointer to data,An ordering mechanism,A backup tool,A pointer to data,2,Medium,DBMS,Indexing
185,Which SQL clause is used to group rows with the same values?,GROUP BY,ORDER BY,HAVING,WHERE,GROUP BY,1,Easy,DBMS,SQL Basics
186,What is denormalization?,Increasing redundancy for performance,Reducing redundancy for storage,Creating foreign keys,Merging databases,Increasing redundancy for performance,1,Medium,DBMS,Normalization
187,What SQL keyword is used to add a new column to an existing table?,ALTER,ADD,UPDATE,INSERT,ALTER,1,Easy,DBMS,SQL Basics
188,Which SQL function is used to find the average value of a column?,AVG(),SUM(),COUNT(),MEDIAN(),AVG(),1,Easy,DBMS,SQL Functions
189,What is a view in a database?,A saved query,A table copy,A backup,A transaction log,A saved query,1,Medium,DBMS,Views
190,Which command is used to create a new table?,ADD TABLE,INSERT TABLE,NEW TABLE,CREATE TABLE,CREATE TABLE,4,Easy,DBMS,SQL Basics
191,What does the SQL keyword DISTINCT do?,Removes duplicate records,Filters records,Sorts records,Joins tables,Removes duplicate records,1,Medium,DBMS,SQL Basics
192,What is a subquery?,A query within another query,A type of join,An aggregate function,An indexing technique,A query within another query,1,Medium,DBMS,SQL Basics
193,Which of the following SQL statements will not update a record?,UPDATE table_name SET column_name = value WHERE condition,INSERT INTO table_name (column_name) VALUES (value),UPDATE table_name SET column_name = value,ALTER table_name SET column_name = value,INSERT INTO table_name (column_name) VALUES (value),2,Medium,DBMS,SQL Basics
194,Which SQL clause is used to sort the result set?,ORDER BY,GROUP BY,WHERE,HAVING,ORDER BY,1,Easy,DBMS,SQL Basics
195,What does the SQL command COMMIT do?,Saves all changes made during the current transaction,Undoes all changes made during the current transaction,Executes a stored procedure,Changes the database schema,Saves all changes made during the current transaction,1,Medium,DBMS,Transactions
196,Which SQL statement is used to delete a table?,DELETE TABLE,DROP TABLE,REMOVE TABLE,ERASE TABLE,DROP TABLE,2,Easy,DBMS,SQL Basics
197,What is a composite key?,A key that consists of multiple columns,A single-column key,A key that is not unique,A key with a default value,A key that consists of multiple columns,1,Medium,DBMS,Keys
198,Which function in SQL can be used to find the highest value in a column?,MIN(),MAX(),AVG(),COUNT(),MAX(),2,Easy,DBMS,SQL Functions
199,What is a database schema?,The structure of a database,The data in a database,The SQL commands used to create a database,A type of database,The structure of a database,1,Medium,DBMS,Database Design
